time,name,latitude,longitude,airport,passenger,rank
2017,Shanghai,31.228611,121.474722,PVG,70.00,9
1973,Manila,14.6,120.98,,,
1973,Kolkata,22.5675,88.37,CCU,18.882179,
1973,San Francisco,37.7775,-122.4164,,,
1973,Bangkok,13.75,100.52,,,
1973,Rangoon,16.8,96.15,RGN,5.916597,
1973,Tokyo,35.6897,139.6922,,,
1973,Karachi,24.86,67.01,KHI,7.267582,
1973,Paris,48.8569,2.3514,,,
1973,Addis Ababa,9.0272,38.7369,ADD,12.143938,
1974,Osaka,34.6936,135.5019,,,
1975,Zurich,47.383333,8.533333,ZRH,29.396094,
1981,San Francisco,37.7775,-122.4164,,,
1981,New York City,40.67,-73.94,,,
1978,Tokyo,35.6897,139.6922,,,
1983,Bangkok,13.75,100.52,,,
1985,Singapore,1.283333,103.833333,,,
1986,Toronto,43.6703,-79.3867,,,
1987,Vancouver,49.2608,-123.1139,,,
1988,Rome,41.8931,12.4828,,,
1988,Nagasaki,32.783333,129.866667,,,
1988,Fukuoka,33.5903,130.4019,,,
1991,Anchorage,61.1919,-149.762097,ANC,5.112382,
1991,Seoul,37.566667,126.966667,,,
1992,Manama,26.0275,50.55,BAH,8.477331,
1992,Brussels,50.8467,4.3517,BRU,24.783911,
1992,Los Angeles,34.1,-118.2,,,
1993,Nagoya,35.183333,136.9,,,
1993,Seattle,47.6,-122.3,SEA,46.934194,31
1993,Madrid,40.383333,-3.716667,,,
1996,Busan,35.179444,129.075556,,,
1996,Munich,48.133333,11.566667,MUC,44.577241,38
1996,Sydney,-33.859972,151.211111,,,
2005,Mumbai,19.07599,72.877393,BOM,47.204259,29
2007,Johannesburg,-26.204444,28.045556,JNB,21.237208,
2008,Copenhagen,55.676111,12.568333,CPH,29.177833,
2011,Hamburg,53.565278,10.001389,HAM,17.622997,
2013,Manila,14.6,120.98,,,
2014,Auckland,-36.85,174.7833,,,
2014,Jakarta,-6.21462,106.84513,,,
2016,Prague,50.083333,14.416667,,,
2016,Amsterdam,52.371,4.897,,,
2016,Madrid,40.383333,-3.716667,,,
2016,Saint Petersburg,59.95,30.32,,,
2017,Brisbane,-27.467778,153.027778,BNE,22.949267,
2017,Cairns,-16.9219,145.7758,CNS,4.940484,
2017,Melbourne,-37.813611,144.963056,MEL,35.99723,
2017,Sydney,-33.859972,151.211111,SYD,43.410355,42
2017,Phnom Penh,11.569444,104.921111,PNH,4.24,
2017,Siem Reap,13.362222,103.859722,REP,4.209,
2017,Toronto,43.6703,-79.3867,YYZ,47.054696,30
2017,Vancouver,49.2608,-123.1139,YVR,24.166122,
2017,Prague,50.083333,14.416667,PRG,15.415001,
2017,Paris,48.8569,2.3514,CDG,69.471442,10
2017,Frankfurt,50.116667,8.683333,FRA,64.500386,14
2017,Delhi,28.61,77.23,DEL,63.451503,16
2017,Denpasar,-8.65,115.216667,DPS,21.052592,
2017,Jakarta,-6.21462,106.84513,CGK,63.01562,17
2017,Rome,41.8931,12.4828,FCO,40.968756,47
2017,Fukuoka,33.5903,130.4019,FUK,23.979222,
2017,Hanamaki,39.388611,141.116917,HNA,0.395647,
2017,Hiroshima,34.383333,132.45,HIJ,2.975385,
2017,Kagoshima,31.58,130.53,KOJ,5.617997,
2017,Komatsu,36.42,136.45,KMQ,1.844117,
2017,Matsuyama,33.83,132.77,MYJ,3.028693,
2017,Nagasaki,32.783333,129.866667,NGS,3.165385,
2017,Nagoya,35.183333,136.9,NGO,0.902066,
2017,Niigata,37.9161,139.0364,KIJ,0.984629,
2017,Okayama,34.65,133.92,OKJ,1.524217,
2017,Okinawa,26.5,128,OKA,20.973087,
2017,Osaka,34.6936,135.5019,KIX,27.886816,
2017,Sapporo,43.066667,141.35,CTS,22.718612,
2017,Shizuoka,34.9756,138.3825,FSZ,0.671582,
2017,Tokyo,35.6897,139.6922,HND,76.476251,7
2017,Malé,4.175278,73.508889,MLE,4.3,
2017,Mandalay,21.975,96.083333,MDL,1.320945,
2017,Amsterdam,52.371,4.897,AMS,68.515425,21
2017,Auckland,-36.85,174.7833,AKL,20.028264,
2017,Saipan,15.209325,145.763169,SPN,0.15,
2017,Cebu,10.3,123.9,CEB,10.05094,
2017,Clark,15.18493,120.5394,CRK,1.514531,
2017,Manila,14.6,120.98,MNL,42.022484,44
2017,Moscow,55.7558,37.6178,SVO,40.092806,50
2017,Saint Petersburg,59.95,30.32,ULLI,16.12552,
2017,Singapore,1.283333,103.833333,SIN,62.22,18
2017,Busan,35.179444,129.075556,PUS,17.064613,
2017,Daegu,35.871389,128.601389,TAE,3.560124,
2017,Jeju,33.516667,126.483333,CJU,29.604363,
2017,Muan,34.9897,126.4714,MWX,0.298016,
2017,Seoul,37.566667,126.966667,ICN,62.157834,19
2017,Madrid,40.383333,-3.716667,MAD,53.386075,25
2017,Colombo,6.92,79.83,CMB,9.805045,
2017,Stockholm,59.3294,18.0686,ARN,26.642034,
2017,Bangkok,13.75,100.52,BKK,60.860557,21
2017,Chiang Mai,18.795278,98.998611,CNX,10.23028,
2017,Dubai,25.263056,55.297222,DXB,88.242099,3
2017,London,51.5072,-0.1275,LHR,78.014598,6
2017,Chicago,41.8819,-87.6278,ORD,79.828183,5
2017,Los Angeles,34.1,-118.2,LAX,84.557968,4
2017,New York City,40.67,-73.94,JFK,59.3925,22
2017,San Francisco,37.7775,-122.4164,SFO,55.822129,24
2017,Ho Chi Minh City,10.8,106.65,SGN,35.996014,
